id,type,source,unit,date,value1,value2,value3
0,PM2.5,Stateair.mn,µg/m3,2015-12-12 06:00:00,,,
1,PM2.5,Stateair.mn,µg/m3,2015-12-12 07:00:00,242.0,,
2,PM2.5,Stateair.mn,µg/m3,2015-12-12 08:00:00,244.0,242.0,
3,PM2.5,Stateair.mn,µg/m3,2015-12-12 09:00:00,93.0,244.0,242.0
4,PM2.5,Stateair.mn,µg/m3,2015-12-12 10:00:00,53.0,93.0,244.0
5,PM2.5,Stateair.mn,µg/m3,2015-12-12 11:00:00,64.0,53.0,93.0
6,PM2.5,Stateair.mn,µg/m3,2015-12-12 12:00:00,125.0,64.0,53.0
7,PM2.5,Stateair.mn,µg/m3,2015-12-12 13:00:00,323.0,125.0,64.0
8,PM2.5,Stateair.mn,µg/m3,2015-12-12 14:00:00,78.0,323.0,125.0
9,PM2.5,Stateair.mn,µg/m3,2015-12-12 15:00:00,51.0,78.0,323.0
10,PM2.5,Stateair.mn,µg/m3,2015-12-12 16:00:00,78.0,51.0,78.0
11,PM2.5,Stateair.mn,µg/m3,2015-12-12 17:00:00,63.0,78.0,51.0
12,PM2.5,Stateair.mn,µg/m3,2015-12-12 18:00:00,76.0,63.0,78.0
13,PM2.5,Stateair.mn,µg/m3,2015-12-12 19:00:00,99.0,76.0,63.0
14,PM2.5,Stateair.mn,µg/m3,2015-12-12 20:00:00,105.0,99.0,76.0
15,PM2.5,Stateair.mn,µg/m3,2015-12-12 21:00:00,166.0,105.0,99.0
16,PM2.5,Stateair.mn,µg/m3,2015-12-12 22:00:00,583.0,166.0,105.0
17,PM2.5,Stateair.mn,µg/m3,2015-12-12 23:00:00,627.0,583.0,166.0
18,PM2.5,Stateair.mn,µg/m3,2015-12-13 00:00:00,285.0,627.0,583.0
19,PM2.5,Stateair.mn,µg/m3,2015-12-13 01:00:00,404.0,285.0,627.0
20,PM2.5,Stateair.mn,µg/m3,2015-12-13 02:00:00,64.0,404.0,285.0
21,PM2.5,Stateair.mn,µg/m3,2015-12-13 03:00:00,67.0,64.0,404.0
22,PM2.5,Stateair.mn,µg/m3,2015-12-13 04:00:00,54.0,67.0,64.0
23,PM2.5,Stateair.mn,µg/m3,2015-12-13 05:00:00,64.0,54.0,67.0
24,PM2.5,Stateair.mn,µg/m3,2015-12-13 06:00:00,68.0,64.0,54.0
25,PM2.5,Stateair.mn,µg/m3,2015-12-13 07:00:00,84.0,68.0,64.0
26,PM2.5,Stateair.mn,µg/m3,2015-12-13 08:00:00,37.0,84.0,68.0
27,PM2.5,Stateair.mn,µg/m3,2015-12-13 09:00:00,36.0,37.0,84.0
28,PM2.5,Stateair.mn,µg/m3,2015-12-13 10:00:00,65.0,36.0,37.0
29,PM2.5,Stateair.mn,µg/m3,2015-12-13 11:00:00,53.0,65.0,36.0
30,PM2.5,Stateair.mn,µg/m3,2015-12-13 12:00:00,101.0,53.0,65.0
31,PM2.5,Stateair.mn,µg/m3,2015-12-13 13:00:00,180.0,101.0,53.0
32,PM2.5,Stateair.mn,µg/m3,2015-12-13 14:00:00,49.0,180.0,101.0
33,PM2.5,Stateair.mn,µg/m3,2015-12-13 15:00:00,34.0,49.0,180.0
34,PM2.5,Stateair.mn,µg/m3,2015-12-13 16:00:00,24.0,34.0,49.0
35,PM2.5,Stateair.mn,µg/m3,2015-12-13 17:00:00,33.0,24.0,34.0
36,PM2.5,Stateair.mn,µg/m3,2015-12-13 18:00:00,39.0,33.0,24.0
37,PM2.5,Stateair.mn,µg/m3,2015-12-13 19:00:00,33.0,39.0,33.0
38,PM2.5,Stateair.mn,µg/m3,2015-12-13 20:00:00,36.0,33.0,39.0
39,PM2.5,Stateair.mn,µg/m3,2015-12-13 21:00:00,45.0,36.0,33.0
40,PM2.5,Stateair.mn,µg/m3,2015-12-13 22:00:00,37.0,45.0,36.0
41,PM2.5,Stateair.mn,µg/m3,2015-12-13 23:00:00,66.0,37.0,45.0
42,PM2.5,Stateair.mn,µg/m3,2015-12-14 00:00:00,31.0,66.0,37.0
43,PM2.5,Stateair.mn,µg/m3,2015-12-14 01:00:00,101.0,31.0,66.0
44,PM2.5,Stateair.mn,µg/m3,2015-12-14 02:00:00,56.0,101.0,31.0
45,PM2.5,Stateair.mn,µg/m3,2015-12-14 03:00:00,98.0,56.0,101.0
46,PM2.5,Stateair.mn,µg/m3,2015-12-14 04:00:00,60.0,98.0,56.0
47,PM2.5,Stateair.mn,µg/m3,2015-12-14 05:00:00,88.0,60.0,98.0
48,PM2.5,Stateair.mn,µg/m3,2015-12-14 06:00:00,46.0,88.0,60.0
49,PM2.5,Stateair.mn,µg/m3,2015-12-14 07:00:00,28.0,46.0,88.0
50,PM2.5,Stateair.mn,µg/m3,2015-12-14 08:00:00,16.0,28.0,46.0
51,PM2.5,Stateair.mn,µg/m3,2015-12-14 09:00:00,21.0,16.0,28.0
52,PM2.5,Stateair.mn,µg/m3,2015-12-14 10:00:00,21.0,21.0,16.0
53,PM2.5,Stateair.mn,µg/m3,2015-12-14 11:00:00,32.0,21.0,21.0
54,PM2.5,Stateair.mn,µg/m3,2015-12-14 12:00:00,68.0,32.0,21.0
55,PM2.5,Stateair.mn,µg/m3,2015-12-14 13:00:00,81.0,68.0,32.0
56,PM2.5,Stateair.mn,µg/m3,2015-12-14 14:00:00,49.0,81.0,68.0
57,PM2.5,Stateair.mn,µg/m3,2015-12-14 15:00:00,78.0,49.0,81.0
58,PM2.5,Stateair.mn,µg/m3,2015-12-14 16:00:00,50.0,78.0,49.0
59,PM2.5,Stateair.mn,µg/m3,2015-12-14 17:00:00,23.0,50.0,78.0
60,PM2.5,Stateair.mn,µg/m3,2015-12-14 18:00:00,23.0,23.0,50.0
61,PM2.5,Stateair.mn,µg/m3,2015-12-14 19:00:00,32.0,23.0,23.0
