time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,precipAccumulation
1449849600,Partly Cloudy,partly-cloudy-night,0,0,-19.72,-19.72,-22.99,0.75,,0,,,,0.44,0,10.003,,,
1449853200,Partly Cloudy,partly-cloudy-night,0,0,-19.72,-19.72,-22.01,0.82,,1,,,,0.44,0,10.003,,,
1449856800,Partly Cloudy,partly-cloudy-night,0,0,-19.65,-19.65,-21.96,0.82,1041.1,0,,,,0.35,0,10.003,,,
1449860400,Partly Cloudy,partly-cloudy-night,0,0,-19.72,-19.72,-22.01,0.82,,0,,,,0.44,0,8.005,,,
1449864000,Partly Cloudy,partly-cloudy-night,0,0,-19.72,-19.72,-22.01,0.82,,0,,,,0.44,0,6.004,,,
1449867600,Mostly Cloudy,partly-cloudy-night,0,0,-18.57,-18.57,-20.8,0.83,1041.2,0.48,,,270.0,0.65,0,6.004,,,
1449871200,Partly Cloudy,partly-cloudy-night,0,0,-17.73,-17.73,-20.99,0.76,,0,,,,0.44,0,6.004,,,
1449874800,Partly Cloudy,partly-cloudy-night,0,0,-18.74,-18.74,-20.99,0.82,,1,,,,0.44,0,6.004,,,
1449878400,Clear,clear-night,0,0,-19.47,-19.47,-22.42,0.77,1042.1,1,,,140.0,0.31,0,6.004,,,
1449882000,Clear,clear-day,0,0,-19.72,-25.44,-22.01,0.82,,2,,,150.0,0.0,0,5.002,,,
1449885600,Mostly Cloudy,partly-cloudy-day,0,0,-18.74,-24.3,-22.01,0.75,,2,,,150.0,0.75,0,4.004,,,
1449889200,Mostly Cloudy,partly-cloudy-day,0,0,-15.4,-15.4,-19.11,0.73,1039.2,0.48,,,270.0,0.75,1,4.004,,,
1449892800,Foggy,fog,0,0,-13.75,-13.75,-17.99,0.7,,0,,,,0.75,1,2.997,,,
1449896400,Foggy,fog,0,0,-11.74,-11.74,-17.99,0.6,,0,,,,0.0,1,2.997,,,
