id,value
0,242.0
1,244.0
2,93.0
3,53.0
4,64.0
5,125.0
6,323.0
7,78.0
8,51.0
9,78.0
10,63.0
11,76.0
12,99.0
13,105.0
14,166.0
15,583.0
16,627.0
17,285.0
18,404.0
19,64.0
20,67.0
21,54.0
22,64.0
23,68.0
24,84.0
25,37.0
26,36.0
27,65.0
28,53.0
29,101.0
30,180.0
31,49.0
32,34.0
33,24.0
34,33.0
35,39.0
36,33.0
37,36.0
38,45.0
39,37.0
40,66.0
41,31.0
42,101.0
43,56.0
44,98.0
45,60.0
46,88.0
47,46.0
48,28.0
49,16.0
50,21.0
51,21.0
52,32.0
53,68.0
54,81.0
55,49.0
56,78.0
57,50.0
58,23.0
59,23.0
60,32.0
61,58.0
62,50.0
63,66.0
64,34.0
65,28.0
66,34.0
67,31.0
68,29.0
69,31.0
70,26.0
71,15.0
72,15.0
73,17.0
74,16.0
75,45.0
76,50.0
77,56.0
78,79.0
79,45.0
80,41.0
81,30.0
82,32.0
83,-999.0
84,28.0
85,48.0
86,156.0
87,287.0
88,238.0
89,201.0
90,235.0
91,210.0
92,213.0
93,249.0
94,328.0
95,424.0
96,334.0
97,265.0
98,236.0
99,344.0
100,452.0
101,690.0
102,796.0
103,442.0
104,89.0
105,111.0
106,88.0
107,88.0
108,103.0
109,114.0
110,226.0
111,247.0
112,669.0
113,384.0
114,368.0
115,283.0
116,995.0
117,281.0
118,365.0
119,368.0
120,197.0
121,138.0
122,109.0
123,139.0
124,218.0
125,292.0
126,329.0
127,167.0
128,78.0
129,68.0
130,67.0
131,86.0
132,94.0
133,111.0
134,249.0
135,572.0
136,282.0
137,875.0
138,489.0
139,835.0
140,995.0
141,763.0
142,591.0
143,421.0
144,293.0
145,294.0
146,313.0
147,409.0
148,661.0
149,632.0
150,909.0
151,342.0
152,47.0
153,46.0
154,39.0
155,61.0
156,60.0
157,66.0
158,70.0
159,230.0
160,995.0
161,422.0
162,838.0
163,995.0
164,995.0
165,502.0
166,995.0
167,898.0
168,110.0
169,474.0
170,382.0
171,424.0
172,526.0
173,785.0
174,204.0
175,118.0
176,64.0
177,48.0
178,44.0
179,55.0
180,71.0
181,128.0
182,554.0
183,613.0
184,504.0
185,529.0
186,499.0
187,995.0
188,546.0
189,406.0
190,495.0
191,361.0
192,316.0
193,225.0
194,282.0
195,303.0
196,168.0
197,187.0
198,290.0
199,231.0
200,172.0
201,142.0
202,130.0
203,121.0
204,142.0
205,169.0
206,242.0
207,301.0
208,277.0
209,253.0
210,182.0
211,419.0
212,892.0
213,190.0
214,177.0
215,441.0
216,313.0
217,158.0
218,360.0
219,374.0
220,520.0
221,300.0
222,273.0
223,315.0
224,31.0
225,39.0
226,28.0
227,28.0
228,28.0
229,37.0
230,43.0
231,36.0
232,35.0
233,53.0
234,36.0
235,33.0
236,50.0
237,70.0
238,153.0
239,117.0
240,69.0
241,143.0
242,173.0
243,276.0
244,254.0
245,84.0
246,143.0
247,77.0
248,69.0
249,39.0
250,32.0
251,35.0
252,40.0
253,79.0
254,95.0
255,104.0
256,98.0
257,82.0
258,70.0
259,53.0
260,48.0
261,67.0
262,60.0
263,99.0
264,61.0
265,101.0
266,70.0
267,186.0
268,300.0
269,230.0
270,190.0
271,137.0
272,113.0
273,92.0
274,79.0
275,82.0
276,146.0
277,166.0
278,138.0
279,229.0
280,447.0
281,342.0
282,393.0
283,374.0
284,353.0
285,338.0
286,292.0
287,220.0
288,204.0
289,185.0
290,194.0
291,320.0
292,995.0
293,995.0
294,194.0
295,-999.0
296,78.0
297,69.0
298,73.0
299,78.0
300,-999.0
301,122.0
302,160.0
303,202.0
304,301.0
305,995.0
306,291.0
307,995.0
308,391.0
309,374.0
310,340.0
311,205.0
312,178.0
313,206.0
314,176.0
315,232.0
316,218.0
317,347.0
318,472.0
319,355.0
320,298.0
321,335.0
322,290.0
323,290.0
324,370.0
325,421.0
326,357.0
327,995.0
328,995.0
329,501.0
330,518.0
